record_id,record_type,relationship,confidence,client_or_owner,name,address_fin,city,postal_code,gross_floor_area_m2,volume_m3,number_of_storeys,completion_date,rank_gfa,main_purpose_fi,heating_method_fi,heating_energy_source_fi,facade_material_fi,load_bearing_material_fi,construction_method_fi,usage_status_fi,permanent_building_identifier,property_identifier,lon,lat,building_key,mandate_since,scale_note,source_url,notes
S-HQ-001,occupied_hq,tenant_not_manager,high,Colony (Altaal / Avant Capital Partners); CGI anchor tenant,Colony Pitäjänmäki — Sustera Finland HQ,Karvaamokuja 2d | Piimäenpolku 2,Helsinki,00380,20219,117059,7,2004-05-24,143,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",Vesikeskuslämmitys,Kauko- tai aluelämpö,Lasi,Betoni,Elementti,Tyhjillään,101633083J,09104600250015,24.88137528,60.2143926,da65ec3a-388d-448f-ac4f-86c48fb5b9e2,2025-01,"Building GFA 20219 m2; Sustera lease ~2500 m2 (~300 staff, one floor)",https://sustera.fi/toimisto/helsinki/,Registered visiting address Karvaamokuja 2 D. Ryhti vacant flag is stale vs Colony occupancy. Colony markets ~18500 m2 / 8 floors / year 2004.
S-MGT-001,managed_contract,technical_manager,high,Kampin Keskus Oy,Kampin Keskus,Tennispalatsinaukio 4 | Urho Kekkosen katu 1 | Urho Kekkosen katu 5 | Fredrikinkatu 63a | Urho Kekkosen katu 3 | Annanaukio 2 | Narinkka 5 | Urho Kekkosen katu 7,Helsinki,00100,81257,644899,9,2005-09-16,5,Julkinen rakennus,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,Käytetään vakinaiseen asumiseen,103055979D,09100400070006,24.93223275,60.16869572,4765781a-4a7f-4ce4-a452-856db7be8b24,2022-spring,Contract 135976 brm2 for whole Kampin Keskus Oy; this Ryhti row is the largest piece (81257 m2),https://sustera.fi/referenssi/kampin-keskus-oy-tekninen-manageeraus/,"BMS, security, PTS, energy allocation. Nearby Ryhti rows 89/469/511/530 may also sit in the mandate (not proven one-by-one)."
S-MGT-002,managed_contract,technical_manager,high,eQ Liikekiinteistöt,Monitoimikeskus Dixi,Ratatie 11,Vantaa,01300,,,,2015,,,,,,,,,,,,,,2015,>50000 brm2 (Sustera); Dixi.info lists 37671 m2 for the mall,https://sustera.fi/referenssi/monitoimikeskus-dixin-teknista-manageerausta-vuodesta-2015/,Outside Helsinki municipality 091. Technical manager Tom Bergholm from opening.
S-MGT-003,managed_contract,technical_manager,high,Valion Eläkekassa,Valio Eläkekassa commercial book (7 sites),,Helsinki region,,37000,,,,,,,,,,,,,,,,,2021-summer,"7 commercial properties = 37000 m2, mainly Helsinki region",https://sustera.fi/referenssi/tekninen-manageeraus-case-valion-elakekassa/,Sustera did not itemize the seven. Rows S-VAL-001..004 are Valio-published Helsinki addresses that match Ryhti.
S-MGT-004,managed_contract,technical_manager,high,Valion Eläkekassa,Valio Eläkekassa residential (3 sites),,Helsinki region,,,,,,,Kerrostalo,,,,,,,,,,,,2024-06,3 residential properties; addresses not published by Sustera,https://sustera.fi/referenssi/tekninen-manageeraus-case-valion-elakekassa/,Expanded from the 2021 commercial mandate.
S-MGT-005,managed_contract,technical_manager,medium,SBB / Samhällsbyggnadsbolaget i Norden AB,SBB Finland technical-management book,,Helsinki region / Tampere / Turku / Oulu,,247331,,,,,,,,,,,,,,,,,2018,"26 properties, 247331 m2 as of summer 2022 (EcoReal-era case)",https://sustera.fi/referenssi/sbb-tekninen-manageeraus/,"Dated. SBB has been selling Finnish assets; current count unknown. Named examples: Mediapolis Tampere, Medipolis Oulu."
S-MGT-006,managed_contract,technical_manager,high,Sanoma Manu Oy,Sanoma Manu newspaper print plant,,Tampere,,15000,,,2013,,,,,,,,,,,,,,2023-spring,~15000 m2 production building,https://sustera.fi/referenssi/sanoma-manu-oy-tekninen-manageeraus/,Street not published on the Sustera case page.
S-MGT-007,managed_contract,technical_manager,high,Aktiivitilat / Suomen Hallikiinteistöt Ky (Keva),Suomen Hallikiinteistöt hall portfolio,,Helsinki region,,,,,,,,,,,,,,,,,,,2025,Count unpublished; production/warehouse halls,https://sustera.fi/referenssi/aktiivitilat-susteran-tekninen-manageeraus-vapautti-aikaa-asiakastyohon/,"Only named site in the case is Ruukintie 18, Espoo (S-MGT-008)."
S-MGT-008,managed_named_site,technical_manager,high,Aktiivitilat / Suomen Hallikiinteistöt Ky,Ruukintie hall,Ruukintie 18,Espoo,,,,,,,,,,,,,,,,,,,2025,,https://sustera.fi/referenssi/aktiivitilat-susteran-tekninen-manageeraus-vapautti-aikaa-asiakastyohon/,Service providers replaced after acquisition. Outside Helsinki 091.
S-MGT-009,managed_named_site,technical_manager,medium,SBB,Mediapolis,Tohlopinranta 31,Tampere,33270,,,,,,,,,,,,,,,,,,2018,Named in SBB 2022 case; part of 26-site book,https://sustera.fi/referenssi/sbb-tekninen-manageeraus/,Address from Tampere city lease papers (SBB Finland Oy). Dated.
S-MGT-010,managed_named_site,technical_manager,medium,SBB,Medipolis,,Oulu,,,,,,,,,,,,,,,,,,,2018,Named in SBB 2022 case; street not on Sustera page,https://sustera.fi/referenssi/sbb-tekninen-manageeraus/,Dated. SBB Finnish book may have been sold in part.
S-VAL-001,managed_helsinki_match,likely_in_valio_mandate,medium,Valion Eläkekassa,Meijeritie 4,Meijeritie 4,Helsinki,00370,12657,65049,5,1985-10-25,373,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",Vesikeskuslämmitys,Kauko- tai aluelämpö,Metallilevy,Betoni,Elementti,Tyhjillään,101642799Y,09104600340010,24.87223345,60.2231475,43772489-04fa-4e4c-9906-c87181dc2342,2021-summer,12657 m2,https://www.valionelakekassa.fi/yhteystiedot/,Valio Eläkekassa visiting address. Likely among the 7 commercial sites Sustera manages; not itemized by Sustera.
